salinity,x_prime,y_prime
12.7600002288818,74.20968936349367,4.689182831571231
13.0299997329712,74.20968936349367,4.689182831571231
13.0600004196167,74.30995714962786,4.133328080939168
13.1099996566772,74.30995714962786,4.133328080939168
13.1700000762939,74.72322348908999,4.208924864784619
13.1499996185303,74.82437037498693,3.65316614084541
13.1700000762939,74.92548707242454,3.097407300793329
13.0600004196167,75.34294800638997,3.17320917064487
13.1800003051758,75.75989896096904,3.249010849325799
13.1899995803833,74.82437037498693,3.65316614084541
13.1999998092651,74.41023335276891,3.5774733896220448
13.1300001144409,74.41023335276891,3.5774733896220448
13.1700000762939,74.30995714962786,4.133328080939168
13.0799999237061,74.30995714962786,4.133328080939168
13.1300001144409,74.30995714962786,4.133328080939168
13.1700000762939,74.72322348908999,4.208924864784619
13.1800003051758,74.6220351253315,4.764683610239263
13.1499996185303,74.20968936349367,4.689182831571231
13.1599998474121,74.30995714962786,4.133328080939168
13.1300001144409,73.8931823789003,4.057923537255607
13.0500001907349,73.57639037253867,3.4266642271329504
13.0600004196167,74.30995714962786,4.133328080939168
13.039999961853,74.41023335276891,3.5774733896220448
13.0600004196167,74.82437037498693,3.65316614084541
13.0299997329712,74.72322348908999,4.208924864784619
13.0600004196167,75.14093252951555,4.284726970317941
13.0900001525879,74.72322348908999,4.208924864784619
13.039999961853,74.72322348908999,4.208924864784619
12.9499998092651,73.8931823789003,4.057923537255607
13.0,74.30995714962786,4.133328080939168
13.0100002288818,74.72322348908999,4.208924864784619
13.0200004577637,74.30995714962786,4.133328080939168
13.0299997329712,74.72322348908999,4.208924864784619
13.039999961853,75.14093252951555,4.284726970317941
12.9899997711182,75.5581296640405,4.360528824243787
12.9300003051758,75.45718742481951,4.916287827673219
13.1000003814697,75.45718742481951,4.916287827673219
13.6300001144409,75.14093252951555,4.284726970317941
13.2299995422363,74.72322348908999,4.208924864784619
13.1499996185303,74.82437037498693,3.65316614084541
13.1000003814697,75.24195567164118,3.728968120983088
13.5100002288818,76.4893699339646,3.956686393303675
13.7200002670288,76.90685420062199,4.032892983170992
13.1300001144409,76.90685420062199,4.032892983170992
13.0200004577637,76.38768890662932,4.512347079431896
13.210000038147,76.4893699339646,3.956686393303675
13.25,76.07559242799191,3.880571405746915
13.3999996185303,76.38768890662932,4.512347079431896
13.3299999237061,76.80527284997048,4.588553799121218
13.6400003433228,76.90685420062199,4.032892983170992
13.6000003814697,76.80527284997048,4.588553799121218
14.0299997329712,76.90685420062199,4.032892983170992
15.0799999237061,77.00837860819082,3.4772320625626576
16.8899993896484,95.23612806807253,1.7007930720788882
17.0300006866455,97.32090525793559,1.2918645453086899
17.1000003814697,97.84642596381292,1.763818899619659
17.0900001525879,98.26181338920259,1.6816264060857546
17.1299991607666,99.20655640953923,2.070350752685753
17.1599998474121,99.62206992993885,1.9876384845034114
17.1800003051758,100.04012182463444,1.904752310875259
17.1700000762939,99.92899107933637,1.3508831978593419
17.1700000762939,101.25974679797187,0.6436881306527572
17.4400005340576,101.67474818069459,0.7272558234386874
17.2800006866455,101.56293542778917,1.2809810348621096
17.4099998474121,101.86747513587278,1.918485567962752
17.1200008392334,101.94839474661275,3.663440786457615
17.0100002288818,102.14098290372985,4.854670867613066
17.0300006866455,102.0293172071107,5.408396197045
16.9200000762939,101.91762966810712,5.962121377687604
17.0599994659424,101.8058921211194,6.515846538712857
16.8099994659424,101.69414593415807,7.069571533153759
17.1399993896484,101.58234320805695,7.623296475457251
16.7000007629395,100.95509194590855,8.647580996936785
16.8899993896484,100.73345427430768,9.755319583454623
16.6900005340576,100.31750398416067,9.672077406234147
17.9500007629395,100.20645448895384,10.225946136278537
17.1299991607666,99.69322019935834,10.696847504292665
16.75,99.5832291411896,11.250857459224598
16.4799995422363,99.05746990082984,11.722154757590175
17.2299995422363,98.94725596097732,12.276164167698953
15.8000001907349,97.80212409913636,13.773492489583822
15.5500001907349,97.38611665158795,13.691299048089226
16.0100002288818,96.13558680525352,15.744374351768606
13.960000038147,95.91792978290806,16.85293549125326
17.8299999237061,95.80904235136659,17.407215884355214
17.6900005340576,95.89876676661157,19.151740612430007
20.5699996948242,97.32012248408886,20.587639944467607
19.2900009155273,97.73622021708026,20.669834268853467
16.3899993896484,99.67917642330576,21.636596705249566
16.0599994659424,100.26165594113186,22.910519953043003
18.1299991607666,102.83719312164312,22.8579542942344
20.5200004577637,103.9421943624623,23.66436983101219
18.2000007629395,104.3570964917775,23.748694101585652
17.5499992370605,105.04377658039016,24.471760605903587
16.5699996948242,105.76104486266594,25.194953582325297
18.3999996185303,106.55790180866076,25.365591893063236
18.6599998474121,107.38776554812424,25.536487378632543
17.5400009155273,109.80775113033917,26.053853801312844
20.5599994659424,112.4555152655069,25.471557984108497
17.1900005340576,113.36405664694026,25.09465581230085
17.8700008392334,116.4281433334189,24.61169104580281
17.4699993133545,118.58200654078541,24.509514766997647
17.0599994659424,120.3206024595723,24.3209277975437
16.7399997711182,121.23208106899334,23.952397700775883
17.7900009155273,122.14314108166516,23.584582138023148
16.5900001525879,124.33856540111877,25.242895468463708
16.5699996948242,129.58495611894,37.501116878521415
12.3699998855591,130.75591066751676,37.7897044002351
16.7399997711182,131.5810044779156,37.98294835547618
17.0,131.7946261481272,38.62993920660347
16.7999992370605,132.62033351094976,38.82471357103962
16.2900009155273,133.37316900078207,39.02025427218576
17.5300006866455,136.65439084251676,39.26244442355644
17.0699996948242,137.02770155547904,39.36218962195951
18.0799999237061,160.01863806218512,32.959905148695185
17.8099994659424,160.58293757634982,32.534304228940236
